redis-1  | 1:C 17 May 2026 20:12:23.170 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
redis-1  | 20:C 17 May 2026 22:14:42.085 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 17 May 2026 22:14:42.180 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 03:50:08.126 * 1 changes in 3600 seconds. Saving...
redis-1  | 1:M 18 May 2026 03:50:08.129 * Background saving started by pid 21
redis-1  | 21:C 18 May 2026 03:50:08.139 * DB saved on disk
redis-1  | 21:C 18 May 2026 03:50:08.140 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 03:50:08.231 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 04:07:59.316 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 04:07:59.318 * Background saving started by pid 22
redis-1  | 22:C 18 May 2026 04:07:59.325 * DB saved on disk
redis-1  | 22:C 18 May 2026 04:07:59.326 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 04:07:59.421 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 05:08:00.039 * 1 changes in 3600 seconds. Saving...
redis-1  | 1:M 18 May 2026 05:08:00.043 * Background saving started by pid 23
redis-1  | 23:C 18 May 2026 05:08:00.051 * DB saved on disk
redis-1  | 23:C 18 May 2026 05:08:00.052 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 05:08:00.144 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 06:08:01.007 * 1 changes in 3600 seconds. Saving...
redis-1  | 1:M 18 May 2026 06:08:01.009 * Background saving started by pid 24
redis-1  | 24:C 18 May 2026 06:08:01.015 * DB saved on disk
redis-1  | 24:C 18 May 2026 06:08:01.017 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 06:08:01.111 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 06:18:18.599 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 06:18:18.601 * Background saving started by pid 25
redis-1  | 25:C 18 May 2026 06:18:18.610 * DB saved on disk
redis-1  | 25:C 18 May 2026 06:18:18.611 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 06:18:18.704 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 06:50:19.479 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 06:50:19.481 * Background saving started by pid 26
redis-1  | 26:C 18 May 2026 06:50:19.490 * DB saved on disk
redis-1  | 26:C 18 May 2026 06:50:19.491 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 06:50:19.584 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 07:17:38.137 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 07:17:38.140 * Background saving started by pid 27
redis-1  | 27:C 18 May 2026 07:17:38.148 * DB saved on disk
redis-1  | 27:C 18 May 2026 07:17:38.149 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 07:17:38.242 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 08:17:39.088 * 1 changes in 3600 seconds. Saving...
redis-1  | 1:M 18 May 2026 08:17:39.091 * Background saving started by pid 28
redis-1  | 28:C 18 May 2026 08:17:39.099 * DB saved on disk
redis-1  | 28:C 18 May 2026 08:17:39.101 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 08:17:39.193 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 09:08:24.019 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 09:08:24.021 * Background saving started by pid 29
redis-1  | 29:C 18 May 2026 09:08:24.030 * DB saved on disk
redis-1  | 29:C 18 May 2026 09:08:24.032 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 09:08:24.124 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 09:22:13.140 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 09:22:13.142 * Background saving started by pid 30
redis-1  | 30:C 18 May 2026 09:22:13.150 * DB saved on disk
redis-1  | 30:C 18 May 2026 09:22:13.150 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 09:22:13.244 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 09:54:53.154 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 09:54:53.158 * Background saving started by pid 31
redis-1  | 31:C 18 May 2026 09:54:53.176 * DB saved on disk
redis-1  | 31:C 18 May 2026 09:54:53.178 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 09:54:53.264 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 10:01:17.470 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 10:01:17.473 * Background saving started by pid 32
redis-1  | 32:C 18 May 2026 10:01:17.493 * DB saved on disk
redis-1  | 32:C 18 May 2026 10:01:17.494 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 10:01:17.574 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 10:36:33.597 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 10:36:33.601 * Background saving started by pid 33
redis-1  | 33:C 18 May 2026 10:36:33.613 * DB saved on disk
redis-1  | 33:C 18 May 2026 10:36:33.614 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 10:36:33.705 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 11:09:56.650 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 11:09:56.653 * Background saving started by pid 34
redis-1  | 34:C 18 May 2026 11:09:56.669 * DB saved on disk
redis-1  | 34:C 18 May 2026 11:09:56.672 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 11:09:56.761 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 11:45:29.935 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 11:45:29.940 * Background saving started by pid 35
redis-1  | 35:C 18 May 2026 11:45:29.956 * DB saved on disk
redis-1  | 35:C 18 May 2026 11:45:29.958 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 11:45:30.045 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 12:19:43.727 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 12:19:43.735 * Background saving started by pid 36
redis-1  | 36:C 18 May 2026 12:19:43.747 * DB saved on disk
redis-1  | 36:C 18 May 2026 12:19:43.749 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 12:19:43.836 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 12:28:00.800 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 12:28:00.802 * Background saving started by pid 37
redis-1  | 37:C 18 May 2026 12:28:00.810 * DB saved on disk
redis-1  | 37:C 18 May 2026 12:28:00.811 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 12:28:00.904 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 12:40:43.566 * 100 changes in 300 seconds. Saving...
redis-1  | 1:M 18 May 2026 12:40:43.568 * Background saving started by pid 38
redis-1  | 38:C 18 May 2026 12:40:43.576 * DB saved on disk
redis-1  | 38:C 18 May 2026 12:40:43.577 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
redis-1  | 1:M 18 May 2026 12:40:43.668 * Background saving terminated with success
redis-1  | 1:M 18 May 2026 12:50:45.126 * 100 changes in 300 seconds. Saving...
nginx-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
nginx-1  | 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
nginx-1  | 10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
nginx-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
nginx-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: using the "epoll" event method
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: nginx/1.29.8
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: OS: Linux 6.8.0-106-generic
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: start worker processes
nginx-1  | 2026/05/29 06:26:12 [notice] 1#1: start worker process 29
nginx-1  | 2026/05/29 06:26:13 [error] 29#29: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 166.1.190.234, server: gw.kodass.ru, request: "GET /socket.io/?EIO=4&transport=polling&t=jgh0drpd HTTP/1.1", upstream: "http://172.18.0.5:5000/socket.io/?EIO=4&transport=polling&t=jgh0drpd", host: "gw.kodass.ru", referrer: "https://gw.kodass.ru/messenger/4"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:13 +0000] "GET /socket.io/?EIO=4&transport=polling&t=jgh0drpd HTTP/1.1" 502 559 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 2026/05/29 06:26:15 [error] 29#29: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 166.1.190.234, server: gw.kodass.ru, request: "GET /socket.io/?EIO=4&transport=polling&t=jgkovcx2 HTTP/1.1", upstream: "http://172.18.0.5:5000/socket.io/?EIO=4&transport=polling&t=jgkovcx2", host: "gw.kodass.ru", referrer: "https://gw.kodass.ru/messenger/4"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:15 +0000] "GET /socket.io/?EIO=4&transport=polling&t=jgkovcx2 HTTP/1.1" 502 559 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 2026/05/29 06:26:19 [error] 29#29: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 166.1.190.234, server: gw.kodass.ru, request: "GET /socket.io/?EIO=4&transport=polling&t=jgnowu03 HTTP/1.1", upstream: "http://172.18.0.5:5000/socket.io/?EIO=4&transport=polling&t=jgnowu03", host: "gw.kodass.ru", referrer: "https://gw.kodass.ru/messenger/4"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:19 +0000] "GET /socket.io/?EIO=4&transport=polling&t=jgnowu03 HTTP/1.1" 502 559 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:24 +0000] "GET /socket.io/?EIO=4&transport=polling&t=jgrurual HTTP/1.1" 200 118 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:25 +0000] "POST /socket.io/?EIO=4&transport=polling&t=jgs5qtgq&sid=0wQS8kJZPaqB1VLIAAAA HTTP/1.1" 200 2 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:25 +0000] "GET /socket.io/?EIO=4&transport=polling&t=jgs5r0a2&sid=0wQS8kJZPaqB1VLIAAAA HTTP/1.1" 200 102 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:25 +0000] "GET /api/messenger/presence HTTP/1.1" 200 15 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:25 +0000] "GET /api/units/active HTTP/1.1" 200 5 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:26 +0000] "GET /socket.io/?EIO=4&transport=polling&t=jgsgglha&sid=0wQS8kJZPaqB1VLIAAAA HTTP/1.1" 200 1 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:26 +0000] "GET /api/messenger/conversations HTTP/1.1" 200 6212 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:26 +0000] "GET /api/calls/active HTTP/1.1" 200 14 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:26 +0000] "GET /api/messenger/unread HTTP/1.1" 200 12 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 166.1.190.234 - - [29/May/2026:06:26:26 +0000] "GET /api/messenger/conversations/4/messages?limit=50 HTTP/1.1" 200 14001 "https://gw.kodass.ru/messenger/4" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:33 +0000] "GET /api/users/7/identicon HTTP/1.1" 200 700 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:33 +0000] "GET /api/users/9/identicon HTTP/1.1" 200 705 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:33 +0000] "GET /api/users/6/identicon HTTP/1.1" 200 704 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:42 +0000] "GET /api/stats/common?from=2026-05-29&to=2026-05-29 HTTP/1.1" 200 154 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:42 +0000] "GET /api/stats/extended?from=2026-05-29&to=2026-05-29 HTTP/1.1" 200 362 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:42 +0000] "GET /api/stats/extended?from=2026-05-23&to=2026-05-29 HTTP/1.1" 200 7306 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:42 +0000] "GET /api/stats/common?from=2026-04-30&to=2026-05-29 HTTP/1.1" 200 86124 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:42 +0000] "GET /api/stats/extended?from=2026-04-30&to=2026-05-29 HTTP/1.1" 200 12047 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:42 +0000] "GET /api/stats/common?from=2026-05-23&to=2026-05-29 HTTP/1.1" 200 11923 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 195.112.114.195 - - [29/May/2026:06:26:49 +0000] "GET /api/users/6/identicon HTTP/1.1" 200 704 "https://gw.kodass.ru/tv" "Mozilla/5.0 (Linux; Android 11; Smart TV Build/RP1A.200622.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.178 Mobile Safari/537.36" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:52 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 157 "-" "-" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:52 +0000] "POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1" 400 157 "-" "-" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:52 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 301 169 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:52 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 405 157 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:52 +0000] "POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 405 157 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:53 +0000] "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /lib/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /lib/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:54 +0000] "GET /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:55 +0000] "GET /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
nginx-1  | 37.60.249.153 - - [29/May/2026:06:26:55 +0000] "GET /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 823 "-" "libredtail-http" "-"
